,,lirui:UpperBody1_Neck,,,lirui:UpperBody2_BackLeft,,,lirui:UpperBody3_BackRight,,,lirui:UpperBody4_BackSpine,,,lirui:UpperBody5_BeltRight,,,lirui:UpperBody6_BeltLeft,,,lirui:Head1_BackMiddle,,,lirui:Head2_BackLeft,,,lirui:Head3_BackRight,,,lirui:UpperArmLeft1_Shoulder,,,lirui:UpperArmLeft2_middle,,,lirui:UpperArmLeft3_ElbowUp,,,lirui:UpperArmLeft4_ElbowDown,,,lirui:UpperArmRight1_Shoulder,,,lirui:UpperArmRight2_middle,,,lirui:UpperArmRight3_ElbowUp,,,lirui:UpperArmRight4_ElbowDown,,,lirui:LowerArmRight3_middle,,,lirui:LowerArmRight4_Wrist,,,lirui:LowerArmLeft3_middle,,,lirui:LowerArmLeft4_Wrist,,,lirui:HandLeft2_Out,,,lirui:HandLeft3_In,,,lirui:HandRight2_Out,,,lirui:HandRight3_In,,,lirui:ThighRight1_PocketRight,,,lirui:ThighRight2_middle,,,lirui:ThighRight3_KneeBackOut,,,lirui:ThighRight4_KneeBackIn,,,lirui:ThighLeft1_PocketLeft,,,lirui:ThighLeft2_middle,,,lirui:ThighLeft3_KneeBackOut,,,lirui:ThighLeft4_KneeBackIn,,,lirui:LowerLegLeft3_middle,,,lirui:LowerLegLeft4_AnkleIn,,,lirui:LowerLegLeft5_AnkleOut,,,lirui:LowerLegRight3_middle,,,lirui:LowerLegRight4_AnkleOut,,,lirui:LowerLegRight5_AnkleIn,,,lirui:FootRight1_Heel,,,lirui:FootRight4_FootSide,,,lirui:FootLeft1_Heel,,,lirui:FootLeft4_FootSide,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1499,0,471.032,4.03339,283.51,441.076,98.5575,263.887,448.428,-96.4385,239.889,303.865,17.5375,268.868,30.7314,-166.701,89.742,-8.53831,135.088,138.099,621.159,13.348,272.855,618.624,80.5626,260.977,627.529,-34.6241,244.506,405.335,209.27,278.928,331.128,270.489,255.982,298.788,401.215,188.83,316.207,424.396,163.062,433.769,-185.805,242.777,365.032,-236.444,230.183,299.606,-370.77,157.617,285.832,-397.388,126.353,392.742,-337.629,61.3452,456.099,-287.156,28.2456,415.772,376.249,80.1602,462.61,350.9,26.2161,513.948,355.228,24.2849,525.873,296.765,44.0932,506.217,-284.331,23.3496,509.113,-233.324,46.102,-87.0007,-170.977,147.993,-242.396,-205.454,72.3468,-470.355,-187.697,44.7587,-473.012,-120.371,104.821,-124.263,82.6527,186.949,-285.532,117.828,112.233,-493.792,81.6775,65.2717,-475.967,25.0034,109.581,-650.443,106.412,98.4785,-899.741,-5.00197,145.239,-897.502,64.321,162.223,-646.099,-230.878,109.164,-874.142,-243.268,161.229,-883.831,-156.903,171.662,-903.904,-224.295,244.58,,,,-919.587,27.0641,218.975,-984.319,92.3604,83.6876
1500,0,473.731,3.73067,277.517,444.111,98.6926,259.104,450.773,-96.9616,234.82,306.355,18.1649,265.001,31.3998,-165.778,89.915,-7.05315,136.63,136.069,624.226,12.8559,265.945,621.861,80.1173,254.305,630.076,-35.3231,237.311,408.563,209.633,274.774,333.078,270.022,253.442,298.809,401.136,188.259,316.468,424.56,162.585,434.975,-186.044,237.877,365.298,-235.862,226.689,298.184,-370.227,156.34,284.582,-397.03,124.778,392.474,-337.567,60.8981,455.746,-287.072,28.0968,415.975,376.227,79.9747,462.601,350.717,26.1453,513.94,355.085,24.3089,525.922,296.484,43.946,506.246,-284.217,23.3701,509.177,-233.057,46.0493,-86.4868,-169.641,148.417,-242.091,-204.693,72.3116,-470.39,-187.068,44.7082,-472.309,-119.094,105.265,-122.442,84.6367,186.271,-284.689,118.996,111.723,-493.378,82.4132,65.0911,-475.193,25.8894,109.543,-649.642,107.257,98.5862,-899.156,-4.51046,145.322,-896.821,64.94,162.78,-646.153,-230.445,109.688,-874.654,-241.421,160.064,-883.968,-154.962,169.315,-905.525,-222.334,243.518,,,,-918.629,27.4312,219.158,-983.512,93.5421,84.3773
1501,0,476.969,3.88114,271.719,447.341,99.3964,254.739,452.647,-97.483,229.82,308.836,18.8964,261.724,32.148,-164.846,90.2058,-5.47905,138.137,134.442,627.175,12.2123,259.498,624.991,79.4723,248.013,632.393,-35.868,230.614,411.482,210.182,271.092,334.906,269.704,251.364,299.187,401.315,187.772,316.551,425.149,162.061,435.888,-186.171,233.214,365.665,-235.375,223.501,297.103,-369.699,154.893,283.164,-396.485,123.278,391.107,-337.228,59.5054,455.266,-287.141,27.7296,415.748,376.079,79.1844,462.696,350.807,26.0838,513.961,354.982,24.3003,525.875,296.234,43.7611,506.209,-284.255,23.3573,509.151,-233.045,46.01,-85.34,-167.654,149.271,-241.882,-203.644,72.404,-469.89,-186.196,44.7821,-471.983,-118.12,105.178,-120.897,86.6254,185.513,-284.095,120.286,111.102,-492.735,83.4594,64.962,-474.522,27.2351,109.825,-648.846,108.238,98.8858,-898.496,-3.92312,144.934,-895.827,65.5437,162.925,-645.679,-228.448,109.667,-874.488,-239.435,158.749,-884.388,-153.165,166.918,-905.616,-218.37,241.434,,,,-917.474,27.5887,219.217,-982.7,94.7013,85.2364
1502,0,479.784,4.00212,266.111,449.709,99.7599,250.483,454.534,-98.1536,225.199,312.403,19.4335,259.091,32.9653,-163.764,90.4714,-4.2057,139.535,132.703,629.847,11.6876,253.025,627.634,78.9911,241.739,634.558,-36.3034,224.103,414.265,210.498,267.714,336.358,269.621,249.509,299.348,401.56,187.441,316.549,425.711,161.617,436.613,-186.486,229.264,365.792,-234.896,220.439,295.741,-368.992,153.684,282.1,-396.118,122.467,390.9,-337.247,59.4452,455.213,-287.28,27.7151,415.591,376.148,78.4628,462.628,350.846,25.9867,513.95,354.935,24.3255,525.91,296.191,43.699,506.236,-284.329,23.4281,509.159,-233.211,46.0415,-84.3376,-166.282,149.969,-242.269,-202.897,73.5061,-469.96,-185.518,44.902,-471.773,-117.08,104.973,-119.458,88.7739,184.813,-283.274,121.651,110.426,-492.205,84.4927,64.9545,-473.878,28.3112,109.676,-648.295,109.098,99.2453,-897.708,-3.22879,144.511,-894.959,65.8751,163.09,-645.494,-227.877,109.867,-874.844,-238.018,157.369,-884.744,-151.425,165.265,-906.456,-216.725,240.357,,,,-916.611,27.4083,218.976,-982.192,95.7908,85.8823
1503,0,481.993,4.01381,260.919,452.034,100.006,246.828,456.135,-98.4266,220.998,314.517,20.0792,256.462,33.2955,-162.869,90.7887,-2.94954,140.786,131.217,632.347,11.2303,247.182,630.308,78.5015,235.825,636.728,-36.808,218.209,416.41,210.75,264.774,338.003,269.673,248.089,299.545,401.738,187.073,316.407,426.14,161.331,437.585,-186.568,226.026,366.144,-234.326,218.092,294.803,-368.397,153.292,281.072,-395.357,122.029,390.421,-337.066,59.3064,454.978,-287.392,27.6344,415.566,376.363,78.3203,462.644,350.85,26.0146,513.895,354.872,24.4212,525.895,296.168,43.7137,506.15,-284.461,23.3685,509.117,-233.402,46.0211,-83.4545,-164.834,150.694,-241.319,-201.507,73.0346,-469.637,-184.543,45.2845,-471.674,-115.96,104.643,-118.111,90.4631,184.279,-282.802,122.927,109.744,-491.651,85.776,65.3552,-473.306,29.4056,109.955,-647.597,110.185,99.8102,-896.976,-2.51962,143.9,-894.307,66.3245,163.153,-645.6,-226.803,109.6,-874.58,-236.852,156.435,-884.73,-150.162,163.1,-906.338,-213.713,238.441,,,,-915.391,27.4798,218.67,-981.699,97.0813,86.5831
1504,0,484.547,4.25199,256.831,453.7,100.321,243.156,457.516,-98.5014,217.597,316.542,21.0509,254.055,33.6713,-161.9,91.2063,-1.92941,141.795,130.099,634.892,10.8161,241.642,632.763,78.0926,230.638,638.767,-37.1548,212.688,418.245,210.756,262.033,339.71,269.752,246.851,299.728,401.724,186.903,316.298,426.264,161.292,438.35,-186.324,222.903,366.983,-233.344,216.173,293.798,-367.338,152.993,279.978,-394.529,121.406,390.165,-336.921,59.5348,454.878,-287.478,27.7878,415.425,376.446,78.227,462.631,350.85,26.0367,513.869,354.828,24.4483,525.8,296.104,43.6715,506.053,-284.564,23.2477,509.171,-233.428,46.0913,-82.7959,-163.218,151.303,-241.78,-200.45,73.8289,-469.818,-183.718,45.3804,-472.262,-115.126,103.765,-117.196,92.1282,184.007,-282.208,124.155,109.51,-491.157,86.9498,65.6047,-472.782,30.566,110.31,-647.191,111.373,100.224,-896.519,-2.29844,143.868,-893.756,66.9179,163.01,-645.726,-225.754,109.388,-874.771,-235.368,155.041,-884.841,-148.902,161.762,-907.068,-213.076,237.526,,,,-914.577,27.5554,218.164,-981.609,98.0536,86.7608
1505,0,486.247,4.31581,253.176,455.106,100.351,239.614,459.15,-98.4289,214.608,318.869,21.5921,252.238,33.9817,-161.117,91.6538,-1.03477,143.089,129.084,637.386,10.4871,236.835,635.294,77.7903,225.639,640.551,-37.5463,207.676,420.303,210.994,259.505,341.446,269.572,245.431,299.741,401.565,186.679,316.151,426.14,161.188,439.577,-185.775,220.602,367.846,-232.302,214.105,292.796,-366.22,152.638,279.114,-393.967,121.657,389.856,-336.812,59.7803,454.838,-287.551,27.9563,415.195,376.471,78.2433,462.538,350.763,26.0489,513.858,354.773,24.4713,525.754,296.067,43.6847,506.014,-284.684,23.2369,509.154,-233.505,46.0711,-82.4138,-161.984,152.027,-242.409,-199.501,74.791,-469.746,-182.634,45.2831,-472.241,-114.039,103.543,-116.22,93.2551,183.385,-281.547,125.341,109.494,-490.795,87.9495,65.685,-472.435,31.7237,110.632,-646.617,112.376,100.939,-895.956,-1.68563,143.159,-893.278,67.4097,162.798,-645.5,-225.411,109.207,-874.519,-234.033,154.049,-884.9,-147.94,159.888,-906.794,-210.484,236.098,,,,-913.9,27.4776,217.508,-981.476,98.8317,86.8281
1506,0,487.785,4.67507,249.946,458.62,101.069,237.801,460.457,-98.3784,211.907,320.242,22.4688,249.875,34.4177,-160.066,92.2004,-0.833975,144.022,128.268,639.509,10.3327,232.098,637.489,77.6645,221.066,642.112,-37.7494,202.953,422.087,211.122,257.18,343.061,269.229,244.021,299.635,401.255,186.356,315.93,426.026,161.047,440.865,-185.198,218.279,368.385,-231.248,212.192,292.344,-364.983,152.647,278.484,-393.165,121.886,388.943,-336.609,59.8038,454.842,-287.581,28.0866,414.957,376.43,78.09,462.346,350.585,25.9955,513.905,354.555,24.5212,525.737,295.939,43.5942,505.991,-284.853,23.2223,509.247,-233.518,46.1179,-81.9587,-160.602,152.962,-240.955,-198.346,74.6442,-469.766,-181.579,45.3289,-471.967,-113.17,103.71,-115.7,94.514,183.115,-281.064,126.467,109.337,-490.374,89.3669,66.2787,-472.192,32.6904,110.821,-646.208,113.46,101.544,-895.334,-1.06172,142.119,-893.086,67.4577,162.42,-644.724,-224.08,108.988,-874.097,-233.679,153.314,-885.013,-146.787,158.856,-907.087,-209.536,234.911,,,,-913.449,27.3507,216.749,-981.331,99.5248,86.7673
1507,0,489.808,4.91072,247.209,459.906,101.416,234.785,461.479,-98.2162,209.35,322.004,22.8808,248.493,34.4241,-159.4,92.8052,-0.450449,144.978,127.83,641.558,10.1748,228.305,639.502,77.4541,216.943,643.835,-37.9861,199.194,424.287,211.687,254.781,344.588,269.015,242.661,299.48,401.209,186.033,315.602,426.173,160.698,441.804,-184.626,215.816,369.029,-230.132,210.655,291.68,-363.762,152.51,277.454,-392.012,121.644,388.333,-336.308,59.6847,454.884,-287.586,28.2141,414.709,376.508,77.8794,462.193,350.291,25.972,513.959,354.19,24.6252,525.798,295.588,43.5788,505.949,-284.976,23.0937,509.149,-233.571,46.0091,-81.8528,-159.444,153.527,-241.279,-197.376,75.2033,-469.713,-180.623,45.3998,-471.478,-111.712,104.037,-115.605,95.5328,182.939,-280.8,127.183,109.07,-490.622,90.431,66.5308,-471.718,33.9869,111.076,-645.933,114.241,101.6,-895.286,-0.977832,141.511,-892.859,67.8524,161.995,-644.451,-223.473,108.865,-873.643,-232.632,152.42,-884.886,-145.947,157.43,-906.596,-208.113,234.087,,,,-913.03,27.2867,216.03,-981.256,99.9436,86.2203
1508,0,491.371,5.05311,244.678,461.965,102.065,232.582,462.83,-98.065,207.202,323.943,23.5625,247.023,34.0299,-158.401,93.3313,-0.180735,145.938,127.549,643.155,10.3201,224.442,640.962,77.5267,212.744,645.543,-38.0722,195.812,426.073,212.313,252.657,346.022,268.972,241.261,298.987,400.986,185.527,315.147,426.617,159.94,442.818,-184.187,213.814,369.457,-229.156,209.042,290.691,-362.512,152.052,276.538,-391.286,121.885,388.047,-336.007,59.6544,454.93,-287.402,28.4548,414.451,376.519,77.4394,462.198,349.862,26.1268,513.972,353.765,24.6874,525.473,294.889,43.4184,506.046,-284.891,23.1842,509.205,-233.557,46.0453,-81.8856,-158.559,153.93,-241.427,-196.564,75.9765,-469.826,-179.9,45.5874,-471.247,-110.996,103.996,-115.41,96.723,182.871,-280.489,128.558,108.882,-490.311,91.6645,66.7602,-471.797,34.7876,111.075,-645.695,115.242,101.927,-894.641,-0.554965,140.097,-892.595,68.4786,161.219,-644.264,-223.052,108.61,-873.902,-231.722,151.539,-884.615,-145.282,156.272,-906.531,-207.137,233.318,,,,-912.715,27.54,215.212,-981.138,100.367,85.441
1509,0,493.034,5.91278,242,463.215,102.759,229.982,464.174,-97.9554,205.286,325.446,24.1794,245.524,34.2326,-157.621,94.0415,-0.136651,146.851,127.252,645.043,10.4351,221.139,642.97,77.4685,209.357,646.635,-38.0078,192.563,427.789,213.178,250.503,346.797,268.933,239.635,298.99,401.004,184.932,314.835,427.201,159.307,443.593,-183.845,212.05,369.686,-228.109,207.57,290.004,-361.741,152.017,275.436,-390.41,121.423,387.998,-335.365,59.5683,454.746,-287.258,28.6051,414.386,376.585,77.1114,462.197,349.642,26.2269,513.941,353.461,24.8304,525.507,294.592,43.4506,506.066,-284.701,23.212,509.206,-233.495,46.0026,-81.6735,-157.355,154.592,-241.714,-195.975,76.4557,-470.016,-179.533,45.8232,-471.021,-110.268,103.984,-115.466,98.0163,182.5,-280.293,129.771,108.831,-490.242,92.6555,67.1112,-471.756,35.8419,111.386,-645.414,116.03,102.049,-894.287,0.120169,139.436,-892.592,68.6707,160.485,-643.97,-222.373,108.257,-873.061,-230.18,150.86,-884.456,-144.497,155.26,-906.18,-206.175,232.266,,,,-912.2,27.9714,214.11,-981.174,100.494,84.6595
1510,0,493.932,6.2465,239.179,465.025,103.683,228.135,465.454,-97.9836,203.324,326.925,24.9135,244.072,33.9288,-157.215,95.1303,-0.196603,147.907,126.787,646.396,10.336,218.133,644.259,77.4902,205.811,647.564,-37.9347,189.454,429.233,213.895,248.557,347.586,269.194,238.569,299.223,401.344,184.389,314.554,427.729,158.791,444.611,-183.378,210.551,369.855,-227.035,206.216,289.402,-361.053,151.532,274.72,-389.613,120.708,387.799,-334.897,59.6075,454.986,-286.882,29.4283,414.445,376.794,76.793,462.385,349.667,26.2964,513.922,353.323,24.8545,525.479,294.428,43.378,506.601,-284.344,23.8773,509.372,-233.023,45.9222,-81.9342,-156.293,155.106,-241.165,-195.193,76.2636,-470.11,-179.244,45.9131,-471.019,-109.538,103.887,-115.477,98.8685,182.1,-280.239,130.831,108.212,-490.173,93.4403,66.9851,-471.641,36.7646,111.307,-645.422,116.921,101.77,-894.429,0.198746,138.836,-892.35,69.3721,159.668,-643.806,-222.021,108.235,-873.097,-230.153,150.298,-884.459,-143.866,154.041,-905.934,-205.182,231.33,,,,-911.754,28.4666,213.208,-981.105,100.659,84.1272
1511,0,495.677,7.1455,236.863,466.029,104.415,225.986,466.319,-98.1582,201.712,328.12,25.7091,242.959,34.1217,-156.533,95.8813,0.0491726,148.882,126.205,647.703,10.4552,215.281,645.834,77.7734,202.996,648.666,-37.9166,186.788,430.386,214.807,246.962,348.222,269.535,237.465,298.787,401.609,183.536,314.349,427.983,158.353,443.884,-183.658,208.435,369.985,-226.379,205.453,288.958,-360.368,150.835,274.281,-389.334,120.395,387.503,-334.693,59.272,455.332,-286.266,29.4366,414.443,376.917,76.5908,462.361,349.622,26.2534,514.006,353.155,24.9299,525.878,294.477,43.4843,506.689,-283.971,24.1268,509.333,-232.42,45.7801,-82.1123,-155.297,155.494,-240.952,-194.618,76.2339,-469.993,-178.753,46.1201,-470.907,-109.052,103.859,-115.316,100.181,181.647,-280.065,131.895,107.589,-489.994,94.1729,67.0508,-471.437,37.4158,111.315,-645.237,117.501,101.281,-893.837,1.05917,137.386,-892.034,69.6639,158.739,-643.333,-221.445,108.172,-872.505,-229.234,149.663,-884.424,-143.126,153.072,-905.755,-204.136,230.881,,,,-911.321,28.6779,212.622,-980.964,101.028,83.4552
1512,0,496.504,7.42737,234.398,467.061,105.306,224.347,466.776,-98.3533,200.434,329.168,26.3778,241.973,34.3492,-155.675,96.3526,0.169276,149.446,125.273,649.061,10.5838,212.632,647.317,78.0084,200.4,649.62,-37.9509,184.493,431.076,215.466,245.238,348.601,270.136,236.369,298.486,401.923,182.883,314.005,428.25,157.854,445.155,-182.93,207.746,370.059,-226,204.424,288.367,-359.946,150.185,274.003,-388.657,119.878,387.261,-334.236,58.8128,455.653,-285.917,29.7856,414.284,376.929,76.4779,462.253,349.371,26.17,513.987,352.962,24.9641,525.913,294.183,43.3811,506.401,-283.585,23.9682,509.195,-232.043,45.4586,-81.5712,-154.11,155.929,-240.837,-194.015,76.8123,-469.851,-178.316,46.3163,-470.686,-108.419,103.829,-115.274,101.23,181.289,-280.121,132.573,107.079,-489.748,94.8179,66.9585,-471.43,37.7038,111.043,-645.071,118.149,101.057,-893.622,1.29717,137.032,-891.954,70.1219,158.38,-642.975,-220.71,108.217,-872.81,-229.068,149.084,-884.327,-142.168,152.182,-905.081,-202.995,229.726,,,,-910.55,29.4068,212.263,-980.821,101.461,83.0222
1513,0,497.491,8.09927,232.6,467.838,105.793,222.884,467.383,-98.5456,199.52,330.235,27.1547,240.957,34.5106,-154.737,96.4012,0.472055,150.454,124.53,650.491,10.6827,210.45,648.443,77.9232,197.99,650.517,-38.1492,182.674,431.833,216.141,243.928,348.885,270.504,235.321,298.275,402.111,182.395,313.505,428.346,156.89,445.176,-182.629,206.858,370.053,-225.439,203.54,288.291,-359.562,150.103,273.736,-388.333,119.745,387.11,-334.035,58.508,455.73,-285.852,29.9584,414.251,377.05,76.4617,462.313,349.148,26.3319,514.036,352.798,25.0131,526.029,293.972,43.3616,506.266,-283.415,23.8475,509.012,-231.812,45.2798,-81.395,-153.275,156.133,-241.023,-193.482,77.1382,-469.72,-178.027,46.483,-470.514,-107.906,103.725,-114.95,102.267,180.658,-279.606,133.429,106.787,-489.565,95.1962,66.7185,-471.343,38.161,110.821,-644.861,118.726,100.877,-893.359,1.67603,136.736,-891.624,70.709,158.334,-642.964,-220.349,108.179,-872.064,-228.12,148.613,-884.362,-141.546,151.767,-904.506,-202.104,229.11,,,,-910.32,29.8323,212.024,-980.72,101.739,82.7768
1514,0,498.166,8.7511,230.491,469.286,106.843,222.009,467.509,-98.637,198.37,331.175,27.7493,240.333,34.674,-154.138,96.4862,0.747899,151.277,123.428,651.436,10.7762,208.508,649.366,77.7696,195.856,651.589,-37.9807,180.365,432.388,216.82,242.73,349.163,270.711,234.177,297.475,401.979,181.319,312.953,428.384,156.042,445.148,-182.379,205.945,370.139,-224.93,202.893,288.073,-359.104,149.99,273.581,-387.971,119.848,386.989,-333.936,58.7809,455.759,-285.81,30.0791,414.032,377.12,76.2761,462.328,349.143,26.4142,514.057,352.68,24.9706,525.661,293.634,43.1526,506.212,-283.39,23.784,509.137,-231.742,45.2801,-81.1291,-152.282,156.513,-241.341,-193.051,77.1561,-469.819,-177.923,46.59,-470.385,-107.421,103.456,-114.49,103.22,179.787,-279.405,133.991,106.253,-489.522,95.6079,66.6252,-471.133,38.7127,110.82,-644.798,119.075,100.69,-893.313,1.86292,137.074,-891.57,71.0393,158.263,-642.972,-220.181,108.29,-872.066,-227.308,148.118,-884.417,-141.058,150.656,-904.135,-201.399,228.546,,,,-910.204,30.3039,212.026,-980.438,102.017,82.7426
1515,0,498.27,9.13788,229.461,469.96,107.359,221.018,467.891,-98.5921,197.683,331.384,28.3925,239.388,34.9732,-153.675,96.8263,0.840147,151.777,122.719,652.088,10.6774,206.72,650.21,77.9111,193.885,652.004,-38.1256,178.839,432.729,217.448,241.288,349.24,270.842,233.061,297.016,402.038,180.574,312.127,428.479,155.181,444.298,-182.513,204.655,369.9,-224.224,202.326,287.805,-358.465,150.09,273.372,-387.428,120.044,386.853,-333.788,59.1276,455.889,-285.907,30.4265,413.617,377.213,75.9406,462.233,349.026,26.3828,514.058,352.581,25.0071,525.692,293.525,42.9733,506.217,-283.445,23.7514,509.07,-231.787,45.1697,-80.7019,-151.397,156.689,-240.797,-192.772,77.1123,-469.76,-177.777,46.7724,-470.497,-107.316,103.333,-114.017,103.966,179.324,-279.292,134.66,105.91,-489.387,96.2236,66.5257,-470.962,39.2935,110.832,-644.588,119.36,100.692,-892.917,2.48445,137.572,-891.621,71.1983,158.31,-642.648,-219.634,108.532,-872.21,-226.559,147.533,-884.288,-140.796,149.617,-903.979,-200.956,227.898,,,,-910.21,30.7676,212.214,-980.284,102.344,82.7909
1516,0,498.427,9.4427,228.005,470.251,107.997,219.82,467.948,-98.6073,197.124,331.357,29.1411,238.442,35.5572,-153.043,97.2351,1.32774,152.813,121.698,652.788,10.9854,205.241,650.921,77.9882,192.635,652.372,-38.0064,177.436,433.336,218.185,240.332,349.429,270.964,231.836,296.107,401.969,179.393,311.032,428.556,154.201,445.27,-181.671,204.723,369.663,-223.677,201.774,287.492,-357.82,150.081,273.317,-386.888,120.262,386.937,-333.641,59.7334,455.993,-286.021,30.9021,413.059,377.263,75.325,462.053,348.841,26.387,514.107,352.361,25.0073,525.134,293,42.5958,506.326,-283.506,23.8044,509.103,-231.725,45.0576,-80.1905,-150.599,157.147,-240.591,-192.257,77.2723,-469.765,-177.64,47.0266,-470.326,-107.056,103.368,-113.676,104.895,178.724,-279.268,135.247,105.449,-489.308,96.5341,66.3768,-470.878,39.5605,110.876,-644.461,119.63,100.778,-892.981,2.75524,137.673,-891.661,71.6354,158.623,-642.52,-219.307,108.613,-872.086,-226.069,147.335,-884.414,-140.269,148.97,-903.687,-200.316,227.354,,,,-910.359,31.0827,212.558,-980.248,102.491,82.9136
1517,0,498.084,9.79349,226.792,470.934,108.779,219.02,467.844,-98.4488,196.656,332.238,29.853,237.997,35.6791,-152.607,97.4778,1.54675,153.465,120.747,653.213,10.9725,204.259,651.181,78.0005,191.087,652.664,-37.9868,176.405,433.68,219.116,238.924,349.222,270.973,230.463,295.132,401.917,178.321,309.884,428.599,153.043,444.182,-181.95,203.661,369.425,-222.674,201.397,287.227,-357.162,150.333,272.805,-386.385,120.56,386.751,-333.435,60.2678,456.104,-285.919,31.2244,412.395,377.191,74.5078,461.989,348.641,26.4361,514.215,352.079,25.1662,525.335,292.672,42.5286,506.401,-283.488,23.7823,509.19,-231.749,44.932,-79.9312,-150.117,157.426,-240.746,-192.132,77.6681,-469.63,-177.497,47.3201,-470.139,-106.634,103.476,-113.52,105.558,178.179,-279.212,135.831,105.214,-489.217,96.8589,66.4023,-470.695,39.9348,110.969,-644.518,119.796,100.834,-892.841,3.03913,137.97,-891.482,71.9791,158.87,-642.331,-218.899,108.854,-871.915,-225.68,147.238,-884.401,-139.588,148.758,-903.183,-199.164,227.165,,,,-910.446,31.5083,212.969,-980.19,102.502,83.0034
1518,0,498.187,10.5038,226.135,471.071,109.541,218.073,467.955,-98.0088,195.953,332.255,30.5862,237.275,35.8261,-152.161,97.7519,1.46618,154.01,120.111,653.55,11.2864,203.217,651.477,78.0687,190.087,652.614,-37.9189,175.397,433.914,219.685,237.701,349.016,271.232,229.001,294.201,402.074,177.075,308.967,428.948,151.804,445.122,-180.918,204.104,369.096,-221.721,200.81,286.706,-356.263,150.321,272.249,-385.697,120.757,386.618,-333.214,60.6115,456.253,-285.756,31.6681,411.848,377.21,73.9164,461.828,348.433,26.497,514.264,351.676,25.2255,525.195,292.263,42.4093,506.446,-283.523,23.7328,509.345,-231.793,44.8345,-79.6593,-149.381,157.945,-241.089,-191.909,78.2363,-469.506,-177.339,47.6262,-470.256,-106.468,103.337,-113.474,106.058,177.487,-279.155,136.182,104.918,-489.241,97.0153,66.412,-470.551,40.2744,111.104,-644.59,119.938,100.893,-892.991,3.13839,138.428,-891.532,72.3029,159.207,-642.137,-218.672,109.096,-872.232,-225.654,147.057,-884.338,-139.165,148.24,-902.731,-198.292,226.751,,,,-910.556,31.7754,213.323,-980.196,102.526,83.1326
1519,0,498.64,11.3056,225.293,471.582,110.353,217.066,467.965,-97.5907,195.334,332.248,31.2316,236.228,35.9942,-151.72,98.0053,1.53136,154.456,119.558,653.559,11.3347,202.3,651.719,78.2075,189.041,652.639,-37.8205,174.472,433.888,220.499,236.046,348.641,271.406,227.574,292.714,402.03,175.734,307.558,429.091,150.405,445.101,-180.224,203.709,368.798,-220.519,200.399,285.979,-355.361,150.318,271.71,-385.013,120.861,386.557,-332.781,60.9281,456.391,-285.671,31.8881,410.983,376.983,73.0071,461.83,348.412,26.6308,514.336,351.532,25.2529,525.166,292.03,42.4656,506.585,-283.47,23.7188,509.466,-231.755,44.5598,-79.2688,-148.713,158.352,-241.235,-191.752,78.8068,-469.598,-177.354,47.8276,-470.277,-106.299,103.249,-113.499,106.557,176.99,-279.061,136.489,104.66,-489.171,97.1708,66.4411,-470.562,40.5559,111.16,-644.665,120.05,100.924,-893.113,3.14666,138.929,-891.593,72.3352,159.369,-642.115,-218.566,109.348,-872.287,-225.384,147.157,-884.48,-138.993,147.813,-902.606,-197.774,226.664,,,,-910.821,31.8531,213.541,-980.161,102.496,83.1975
