,,liang:UpperBody1,,,liang:UpperBody2,,,liang:UpperBody3,,,liang:UpperBody4,,,liang:UpperBody5,,,liang:UpperBody6,,,liang:UpperBody7,,,liang:UpperArmLeft1,,,liang:UpperArmLeft2,,,liang:UpperArmLeft3,,,liang:UpperArmRight1,,,liang:UpperArmRight2,,,liang:UpperArmRight3,,,liang:LowerArmRight2,,,liang:LowerArmRight3,,,liang:LowerArmLeft2,,,liang:LowerArmLeft3,,,liang:Head1,,,liang:Head2,,,liang:ThighLeft2,,,liang:ThighLeft3,,,liang:ThighLeft4,,,liang:ThighRight2,,,liang:ThighRight3,,,liang:ThighRight4,,,liang:LowerLegRight3,,,liang:LowerLegRight4,,,liang:LowerLegLeft3,,,liang:LowerLegLeft4,,,liang:FeetLeft2,,,liang:FeetLeft3,,,liang:FeetRight2,,,liang:FeetRight3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,-304.533,1.70624,1474.22,-82.2233,52.1399,1492.48,-163.658,-7.7067,1437.12,-224.794,212.52,1332.86,-151.197,-39.2543,1303.88,-374.882,48.1226,1019.86,-20.0792,127.491,1005.92,-390.195,115.051,1536.54,-499.409,11.0758,1565.69,-562.937,-99.6381,1675.83,-54.9771,188.411,1540.21,82.6294,153.993,1623.04,176.261,92.6331,1720.99,186.364,61.1884,1834.58,219.284,-17.456,1965.7,-555.667,-98.1719,1794.05,-524.773,-158.117,1926.86,-209.315,-44.1404,1743.46,-102.909,-15.7567,1747.07,-394.03,-13.469,775.871,-359.986,26.7036,483.059,-268.658,4.77572,473.737,29.1373,91.5764,755.574,7.03975,80.1091,484.459,-77.5753,35.4244,466.681,16.302,177.189,335.981,2.58009,176.063,57.92,-393.6,83.1371,308.222,-381.7,126.144,65.5836,-392.634,-0.71166,18.481,-328.452,193.83,18.959,86.0308,51.2255,18.2491,-49.0965,214.885,19.9875
11,0,-304.48,1.65036,1474.19,-82.1617,52.0395,1492.47,-163.982,-7.75398,1436.95,-224.785,212.47,1332.86,-151.303,-39.2674,1303.84,-374.839,48.072,1019.87,-20.1414,127.409,1005.92,-390.151,114.947,1536.54,-499.37,10.8843,1565.68,-562.894,-99.7764,1675.8,-54.9676,188.391,1540.2,82.6556,153.962,1623.03,176.325,92.5436,1721.03,186.32,61.0356,1834.6,219.236,-17.538,1965.61,-555.62,-98.415,1793.98,-524.58,-158.328,1926.75,-209.257,-44.1783,1743.44,-102.877,-15.8433,1747.05,-394.028,-13.549,775.871,-359.954,26.7096,483.065,-268.612,4.76044,473.738,29.0943,91.5205,755.549,7.04684,80.0846,484.455,-77.3174,35.614,466.747,16.3272,177.185,335.995,2.60838,176.079,57.9826,-393.595,83.1233,308.205,-381.719,126.136,65.6505,-392.611,-0.69033,18.5036,-328.431,193.767,18.9738,85.9076,51.1855,18.1952,-49.0286,214.904,20.1063
12,0,-304.479,1.5295,1474.17,-82.1125,52.0009,1492.45,-164.077,-7.78451,1436.89,-224.738,212.341,1332.82,-151.244,-39.2199,1303.79,-374.826,48.0263,1019.86,-20.1189,127.405,1005.9,-390.182,114.824,1536.52,-499.313,10.8309,1565.62,-562.86,-99.8722,1675.76,-54.9538,188.276,1540.2,82.6365,153.835,1623.02,176.389,92.4654,1720.99,186.247,60.8746,1834.59,219.253,-17.6569,1965.57,-555.553,-98.5891,1793.9,-524.454,-158.517,1926.72,-209.188,-44.251,1743.42,-102.81,-15.939,1747.05,-394.012,-13.6656,775.873,-360.018,26.653,483.042,-268.575,4.70093,473.733,29.1127,91.4605,755.564,7.13651,80.1053,484.517,-77.4905,35.3121,466.683,16.3028,177.111,335.981,2.58017,176.059,57.9949,-393.564,83.0994,308.246,-381.673,126.088,65.6789,-392.617,-0.707196,18.5199,-328.439,193.815,19.0273,85.9531,51.204,18.2382,-49.0278,214.905,20.103
13,0,-304.448,1.4951,1474.17,-82.1389,51.9418,1492.43,-163.973,-7.84836,1436.88,-224.772,212.247,1332.81,-151.326,-39.1458,1303.78,-374.777,48.0168,1019.8,-20.1571,127.365,1005.88,-390.21,114.773,1536.51,-499.329,10.7611,1565.61,-562.857,-100.046,1675.79,-54.9591,188.279,1540.19,82.6246,153.744,1622.97,176.423,92.4137,1720.92,186.283,60.778,1834.51,219.198,-17.6768,1965.62,-555.562,-98.7832,1793.92,-524.425,-158.696,1926.7,-209.069,-44.2531,1743.5,-102.741,-15.9666,1747.03,-394.009,-13.7075,775.836,-360.027,26.6571,483.036,-268.569,4.7101,473.68,29.1036,91.4438,755.542,7.10102,80.0916,484.476,-77.6169,35.2578,466.674,16.2516,177.132,335.987,2.58208,176.032,58.0052,-393.533,83.1318,308.213,-381.986,126.082,65.6479,-392.62,-0.7049,18.5465,-328.386,193.752,19.0498,85.9631,51.2036,18.2304,-49.0253,214.913,20.1054
14,0,-304.407,1.41972,1474.14,-82.0595,51.8251,1492.42,-163.978,-7.95417,1436.92,-224.796,212.148,1332.84,-151.287,-39.1589,1303.69,-374.826,47.9546,1019.78,-20.1847,127.332,1005.9,-390.248,114.686,1536.5,-499.296,10.6977,1565.58,-562.838,-100.116,1675.73,-54.9657,188.248,1540.22,82.6625,153.632,1622.96,176.435,92.3653,1720.9,186.266,60.7038,1834.51,219.15,-17.7037,1965.68,-555.52,-98.9498,1793.9,-524.361,-158.814,1926.68,-208.99,-44.3009,1743.48,-102.702,-16.0524,1747.02,-394.041,-13.8187,775.83,-359.962,26.6329,482.975,-268.444,4.60355,473.674,29.0994,91.4502,755.545,7.09988,80.0516,484.5,-77.813,35.0637,466.619,16.2197,177.056,335.966,2.55375,176.033,57.9566,-393.542,83.0523,308.23,-381.747,126.147,65.6031,-392.648,-0.723462,18.5577,-328.4,193.808,19.0382,85.9569,51.1796,18.2527,-49.0721,214.888,20.1109
15,0,-304.364,1.29563,1474.13,-82.0268,51.7861,1492.43,-164.058,-7.95082,1436.84,-224.804,212.089,1332.8,-151.284,-39.1572,1303.67,-374.802,47.9115,1019.78,-20.206,127.246,1005.9,-390.245,114.577,1536.52,-499.382,10.5692,1565.62,-562.836,-100.228,1675.7,-54.9644,188.163,1540.25,82.6198,153.572,1622.93,176.561,92.2422,1720.94,186.35,60.6202,1834.41,219.136,-17.866,1965.64,-555.443,-99.0399,1793.92,-524.336,-159.025,1926.65,-208.91,-44.4239,1743.53,-102.684,-16.1006,1747.04,-394.008,-13.8577,775.828,-359.91,26.6136,482.951,-268.461,4.4948,473.675,29.1133,91.4274,755.547,7.11674,80.0493,484.503,-77.7092,35.2559,466.534,16.203,177.106,336.028,2.55689,176.019,57.9744,-393.523,83.0146,308.211,-382.004,126.114,65.6023,-392.657,-0.696199,18.5448,-328.43,193.756,19.0669,85.9142,51.1726,18.2137,-49.1413,214.847,20.07
16,0,-304.365,1.18923,1474.11,-82.0223,51.6767,1492.43,-164.039,-8.10416,1436.85,-224.833,211.983,1332.76,-151.372,-39.1541,1303.65,-374.81,47.805,1019.78,-20.1973,127.233,1005.91,-390.203,114.49,1536.55,-499.37,10.4792,1565.6,-562.81,-100.271,1675.68,-55.0043,188.127,1540.24,82.6246,153.46,1622.87,176.561,92.1644,1720.94,186.418,60.4767,1834.38,219.053,-18.0015,1965.59,-555.397,-99.1694,1793.95,-524.262,-159.172,1926.64,-208.811,-44.5398,1743.55,-102.657,-16.1804,1747,-393.948,-13.8868,775.81,-359.87,26.6005,482.941,-268.491,4.5167,473.699,29.0994,91.4502,755.545,7.13453,80.0394,484.492,-77.9303,35.0557,466.559,16.1838,177.09,335.995,2.55602,176.022,57.9761,-393.533,82.9938,308.182,-382.004,126.121,65.5942,-392.658,-0.689313,18.5249,-328.445,193.794,19.0656,85.8791,51.1571,18.1985,-49.1412,214.868,20.0646
17,0,-304.334,1.03877,1474.08,-82.0409,51.6132,1492.41,-163.981,-8.10166,1436.86,-224.922,211.909,1332.65,-151.493,-39.1158,1303.6,-374.897,47.7198,1019.82,-20.1935,127.183,1005.87,-390.224,114.355,1536.47,-499.376,10.3975,1565.61,-562.789,-100.289,1675.64,-55.0044,188.062,1540.23,82.677,153.341,1622.84,176.622,92.0941,1720.86,186.581,60.3657,1834.38,219.081,-18.1537,1965.53,-555.312,-99.3013,1793.96,-524.232,-159.306,1926.58,-208.789,-44.6447,1743.56,-102.603,-16.2615,1746.99,-393.938,-13.9869,775.846,-359.793,26.568,482.928,-268.461,4.48325,473.66,29.0994,91.4502,755.545,7.10422,80.0307,484.473,-77.7663,35.1976,466.528,16.1768,177.088,335.975,2.54647,176.028,57.9881,-393.626,82.9267,308.17,-381.717,126.073,65.6506,-392.67,-0.741112,18.5094,-328.471,193.793,19.0163,85.927,51.1725,18.2605,-49.0584,214.893,20.1263
18,0,-304.26,0.958062,1474.07,-82.0171,51.5643,1492.37,-163.983,-8.15064,1436.83,-224.882,211.793,1332.6,-151.415,-39.1439,1303.57,-374.88,47.635,1019.77,-20.2001,127.121,1005.86,-390.135,114.261,1536.48,-499.414,10.3265,1565.63,-562.764,-100.386,1675.6,-54.9749,188.031,1540.21,82.7045,153.225,1622.78,176.64,91.9501,1720.84,186.745,60.3052,1834.23,219.041,-18.2848,1965.5,-555.244,-99.4481,1793.93,-524.194,-159.456,1926.56,-208.672,-44.7593,1743.56,-102.566,-16.3485,1746.92,-393.885,-14.0303,775.808,-359.784,26.5583,482.888,-268.197,4.31816,473.591,29.0758,91.4727,755.543,7.12456,80.0342,484.455,-77.8365,35.0744,466.585,16.123,177.052,335.947,2.53415,176.01,57.987,-393.496,82.9759,308.161,-382.001,126.11,65.5916,-392.632,-0.726218,18.4931,-328.423,193.803,19.0489,85.9513,51.193,18.2218,-49.0886,214.866,20.0694
19,0,-304.261,0.882329,1474.05,-81.9939,51.432,1492.39,-164.088,-8.19553,1436.84,-224.901,211.729,1332.62,-151.421,-39.1816,1303.58,-374.967,47.5205,1019.8,-20.1924,127.113,1005.84,-390.144,114.195,1536.47,-499.361,10.2873,1565.6,-562.797,-100.442,1675.56,-54.9832,188.005,1540.21,82.7347,153.142,1622.79,176.7,91.877,1720.84,186.856,60.1971,1834.23,219.034,-18.3891,1965.51,-555.156,-99.5688,1793.95,-524.095,-159.652,1926.53,-208.583,-44.8508,1743.59,-102.468,-16.4728,1746.95,-393.878,-14.1171,775.819,-359.693,26.5213,482.869,-268.456,4.42791,473.629,29.0482,91.4376,755.524,7.15627,80.0229,484.472,-77.6595,35.2091,466.561,16.1381,177.081,335.955,2.52342,176.018,57.9967,-393.518,82.9361,308.167,-381.724,126.09,65.5892,-392.611,-0.737494,18.5161,-328.422,193.729,19.0226,86.0085,51.2138,18.2529,-49.1096,214.848,20.0844
20,0,-304.184,0.739345,1474.04,-82.026,51.3867,1492.36,-163.989,-8.31639,1436.81,-224.887,211.647,1332.63,-151.376,-39.28,1303.53,-375.083,47.3642,1019.85,-20.2076,127.095,1005.86,-390.06,114.134,1536.45,-499.334,10.195,1565.6,-562.778,-100.562,1675.53,-54.9835,187.94,1540.25,82.6522,153.07,1622.77,176.767,91.7202,1720.85,186.922,60.0952,1834.26,219.079,-18.5605,1965.43,-555.107,-99.6957,1793.93,-524.015,-159.821,1926.47,-208.541,-45.0165,1743.6,-102.465,-16.6302,1746.98,-393.882,-14.1965,775.877,-359.701,26.5251,482.887,-268.148,4.26477,473.606,29.022,91.4619,755.519,7.1139,80.039,484.458,-77.7584,35.0692,466.612,16.141,177.048,335.948,2.52488,176.018,57.9959,-393.485,82.8728,308.214,-381.74,126.114,65.7161,-392.582,-0.720646,18.5448,-328.433,193.791,19.0504,85.9253,51.2039,18.2366,-49.0941,214.865,20.1014
21,0,-304.152,0.644382,1474.07,-81.9647,51.3156,1492.33,-163.91,-8.33797,1436.85,-224.895,211.55,1332.64,-151.223,-39.32,1303.52,-375.077,47.2116,1019.86,-20.2167,127.065,1005.86,-390.062,114.072,1536.49,-499.367,10.0743,1565.63,-562.746,-100.647,1675.54,-55.0021,187.871,1540.27,82.6773,153.016,1622.75,176.72,91.57,1720.76,187.006,59.9975,1834.23,219.184,-18.7825,1965.41,-555.091,-99.7977,1793.95,-523.941,-159.978,1926.41,-208.49,-45.1042,1743.58,-102.413,-16.6964,1746.95,-393.834,-14.234,775.846,-359.729,26.5303,482.873,-268.694,4.42456,473.731,29.0489,91.4237,755.544,7.07777,79.9785,484.448,-77.7622,35.0377,466.64,16.1363,177.057,335.98,2.51544,176.018,58.0116,-393.525,82.8987,308.197,-381.922,126.032,65.7147,-392.605,-0.723708,18.5453,-328.435,193.839,19.0345,85.9424,51.2117,18.2237,-49.0749,214.847,20.1554
22,0,-304.164,0.554364,1474.05,-81.9036,51.2527,1492.34,-164.585,-8.3132,1436.68,-224.853,211.5,1332.65,-151.2,-39.3676,1303.52,-375.088,47.1156,1019.93,-20.2582,126.983,1005.86,-390.054,113.942,1536.49,-499.37,9.91662,1565.59,-562.769,-100.759,1675.53,-55.0287,187.772,1540.33,82.7025,152.922,1622.73,176.793,91.5072,1720.77,187.104,59.9058,1834.19,219.234,-18.8327,1965.43,-555.025,-99.9532,1793.91,-523.941,-160.107,1926.41,-208.403,-45.1917,1743.58,-102.331,-16.9048,1746.98,-393.769,-14.283,775.778,-359.611,26.4974,482.883,-268.358,4.33862,473.648,29.045,91.4073,755.54,7.0911,79.9831,484.485,-77.4717,35.206,466.625,16.1615,177.032,335.982,2.53479,175.994,58.0111,-393.509,82.8366,308.221,-381.63,126.083,65.7366,-392.626,-0.711638,18.5537,-328.357,193.773,19.1155,85.9393,51.168,18.2419,-49.0834,214.867,20.1204
23,0,-304.127,0.509469,1474.04,-81.877,51.2241,1492.3,-163.94,-8.5408,1436.77,-224.892,211.46,1332.64,-151.152,-39.3691,1303.52,-375.129,47.0433,1020.01,-20.3086,126.938,1005.84,-390.072,113.847,1536.46,-499.394,9.76029,1565.61,-562.676,-100.849,1675.51,-54.9643,187.725,1540.35,82.7935,152.858,1622.67,176.737,91.4126,1720.66,187.185,59.7909,1834.07,219.296,-18.9651,1965.36,-554.971,-100.026,1793.89,-523.872,-160.262,1926.33,-208.341,-45.2441,1743.58,-102.417,-16.879,1746.97,-393.785,-14.3586,775.792,-359.542,26.4675,482.848,-268.266,4.2234,473.667,29.029,91.3609,755.529,7.08448,79.9837,484.483,-77.7248,35.1333,466.581,16.1493,177.021,335.969,2.52906,176.005,58.016,-393.512,82.8272,308.265,-381.883,126.028,65.7595,-392.618,-0.718333,18.5547,-328.368,193.756,19.0861,85.9049,51.1818,18.2129,-49.127,214.829,20.1283
24,0,-304.061,0.423804,1474.03,-81.8517,51.154,1492.28,-163.855,-8.72437,1436.91,-224.929,211.457,1332.62,-151.173,-39.3632,1303.5,-375.098,46.931,1019.97,-20.2923,126.912,1005.86,-390.016,113.79,1536.5,-499.376,9.6571,1565.62,-562.616,-100.994,1675.54,-54.9548,187.676,1540.31,82.8576,152.783,1622.68,176.722,91.3025,1720.62,187.242,59.7096,1834.1,219.385,-19.0563,1965.31,-554.941,-100.137,1793.89,-523.887,-160.395,1926.32,-208.294,-45.3383,1743.55,-102.332,-16.9668,1746.98,-393.749,-14.3873,775.769,-359.624,26.4047,482.859,-268.203,4.22654,473.616,29.0254,91.3443,755.525,7.09975,79.9452,484.496,-77.7708,34.9863,466.555,16.1063,177.006,335.974,2.47374,175.991,57.9767,-393.638,82.7637,308.262,-381.675,126.016,65.721,-392.609,-0.72197,18.5264,-328.377,193.744,19.1937,85.9647,51.1919,18.2243,-49.1176,214.825,20.1
