,,liang:UpperBody1,,,liang:UpperBody2,,,liang:UpperBody3,,,liang:UpperBody4,,,liang:UpperBody5,,,liang:UpperBody6,,,liang:UpperBody7,,,liang:UpperArmLeft1,,,liang:UpperArmLeft2,,,liang:UpperArmLeft3,,,liang:UpperArmRight1,,,liang:UpperArmRight2,,,liang:UpperArmRight3,,,liang:LowerArmRight2,,,liang:LowerArmRight3,,,liang:LowerArmLeft2,,,liang:LowerArmLeft3,,,liang:Head1,,,liang:Head2,,,liang:ThighLeft2,,,liang:ThighLeft3,,,liang:ThighLeft4,,,liang:ThighRight2,,,liang:ThighRight3,,,liang:ThighRight4,,,liang:LowerLegRight3,,,liang:LowerLegRight4,,,liang:LowerLegLeft3,,,liang:LowerLegLeft4,,,liang:FeetLeft2,,,liang:FeetLeft3,,,liang:FeetRight2,,,liang:FeetRight3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
260,0,-309.234,25.9409,1439.08,-86.9543,72.2243,1459.54,-170.705,15.7309,1402.69,-227.062,239.534,1302.21,-155.939,-7.99006,1271.38,-371.087,87.8077,980.019,-14.4177,163.682,972.992,-394.204,137.864,1503.99,-505.893,34.1579,1527.06,-571.85,-81.116,1631.99,-57.2772,206.763,1510.21,80.6132,167.422,1590.02,174.692,100.952,1685.78,183.567,64.4326,1798.22,209.864,-22.4037,1925.93,-562.343,-85.6654,1750.39,-528.144,-151.769,1880.28,-216.747,-30.287,1706.06,-109.903,-8.07545,1710.48,-391.947,-25.61,748.326,-365.337,-70.9369,456.907,-273.963,-92.2901,456.861,49.2537,74.7612,727.296,59.8456,-10.3781,466.93,-23.4374,-57.4993,457.065,53.5383,104.394,321.664,4.21239,169.483,60.0361,-393.554,12.7461,282.701,-380.373,117.766,64.0056,-391.197,-1.68577,18.8866,-325.932,192.873,18.6847,85.2348,50.3201,18.2515,-50.7376,213.268,20.9617
261,0,-309.249,26.4441,1437.58,-87.1146,72.7598,1457.94,-170.901,16.0383,1401.37,-227.028,240.2,1300.99,-156.155,-7.51344,1270.06,-371.052,88.2175,978.396,-14.5854,164.356,971.655,-394.356,138.147,1502.28,-505.668,34.5816,1525.44,-571.985,-80.771,1630.47,-57.3075,207.274,1508.71,80.2965,167.815,1588.6,174.504,101.389,1684.2,183.316,64.7541,1796.99,209.308,-22.0432,1924.24,-562.454,-85.3409,1748.89,-528.017,-151.19,1878.6,-217.193,-30.1635,1704.66,-109.886,-7.96162,1709.08,-392.085,-26.2768,747.106,-365.7,-73.376,456.255,-274.468,-94.5254,455.74,49.8559,74.0064,726.254,60.8709,-12.3457,466.202,-22.5157,-59.8537,456.366,54.3885,102.808,321.554,4.22626,169.368,60.121,-393.536,11.4021,281.995,-380.504,117.792,64.1154,-391.162,-1.69231,18.882,-325.804,192.844,18.608,85.1945,50.2899,18.2609,-50.7863,213.237,21.0037
262,0,-309.59,26.893,1436.26,-87.3034,73.0335,1456.77,-170.213,16.2739,1400.13,-227.173,240.884,1299.64,-156.558,-7.06935,1268.79,-371.194,88.6128,976.984,-14.8331,164.698,970.407,-394.494,138.609,1500.89,-505.852,34.7941,1524.03,-572.206,-80.3931,1629.02,-57.5116,207.612,1507.39,80.2168,168.173,1587.17,174.465,101.89,1683.01,182.965,65.3004,1795.61,209.218,-21.8099,1923.4,-562.471,-84.8587,1747.38,-528.017,-150.86,1877.17,-217.111,-29.8625,1703.02,-110.193,-7.4956,1707.58,-391.971,-26.7274,746.02,-365.552,-75.2321,455.179,-274.024,-96.5172,454.653,50.1531,73.2226,724.647,62.108,-14.647,465.35,-21.661,-62.2078,455.44,55.0757,101.293,321.017,4.21813,169.131,60.1312,-393.653,10.0215,281.466,-380.491,117.596,64.1354,-391.188,-1.68398,18.8752,-325.802,192.87,18.5953,85.1844,50.2701,18.2568,-50.8326,213.119,21.0723
263,0,-309.702,27.3327,1434.72,-87.446,73.6792,1455.02,-170.759,16.8918,1398.42,-227.28,241.195,1298.16,-156.519,-6.51978,1267.36,-371.366,89.0272,975.469,-14.886,165.197,968.624,-394.676,138.883,1499.36,-506.017,35.0511,1522.46,-572.244,-79.9794,1627.59,-57.66,208.079,1505.69,80.0119,168.4,1585.78,174.116,102.398,1681.29,182.741,65.4391,1794.25,208.955,-21.2506,1922.09,-562.518,-84.3693,1745.83,-528.052,-150.584,1875.66,-217.313,-29.3581,1701.47,-109.992,-6.9075,1705.88,-392.105,-27.4034,745.193,-365.903,-77.0784,454.051,-274.235,-98.4222,453.828,50.6907,72.4746,723.404,63.2522,-16.7627,464.282,-20.1868,-63.5805,454.144,55.7687,99.2649,320.307,4.149,168.807,60.0792,-393.654,8.8526,280.801,-380.456,117.466,64.0632,-391.153,-1.65099,18.9082,-325.704,192.852,18.5333,85.1705,50.2288,18.2227,-50.8929,213.078,21.1426
264,0,-309.722,27.6977,1433.2,-87.8102,73.9458,1453.53,-171.067,17.3233,1396.83,-227.321,241.519,1296.76,-157.039,-6.07705,1265.79,-371.524,89.4659,974.118,-15.1518,165.807,967.194,-394.861,139.522,1497.94,-506.138,35.5588,1520.86,-572.561,-79.8537,1626.25,-58.2388,208.575,1504.24,79.9485,168.939,1584.05,173.851,102.752,1679.96,182.559,65.7637,1792.55,208.531,-21.0077,1920.19,-562.65,-84.0429,1744.43,-528.218,-150.35,1874.15,-217.603,-28.9857,1699.84,-110.209,-6.72371,1704.32,-391.918,-27.9638,743.857,-366.315,-78.9507,453.065,-274.183,-100.505,452.811,50.9595,71.9137,721.822,64.0254,-18.5457,463.26,-19.6356,-66.2671,453.686,56.4911,97.7516,319.581,4.09892,168.631,60.0176,-393.805,7.68835,280.292,-380.406,117.328,63.9727,-391.214,-1.63791,18.9321,-325.663,192.831,18.6188,84.9951,50.1579,18.2458,-51.0441,212.95,21.0716
265,0,-309.888,28.0287,1431.62,-88.1041,74.3899,1451.95,-171.247,17.7376,1395.23,-227.914,241.679,1295,-156.83,-5.60642,1264.19,-371.944,89.8112,972.583,-15.3309,166.286,965.33,-395.105,139.669,1496.03,-506.372,35.903,1519.46,-572.429,-79.4464,1624.56,-58.4663,208.773,1502.37,79.6883,169.409,1582.72,173.611,103.145,1678.46,181.889,66.1892,1791.21,208.423,-20.5734,1918.92,-562.95,-83.78,1742.89,-528.256,-149.986,1872.58,-217.616,-28.606,1698.41,-110.437,-6.40089,1702.79,-392.077,-28.5316,742.893,-366.096,-80.7267,451.949,-274.922,-102.629,451.756,51.193,71.2368,720.626,64.8048,-20.3658,462.214,-16.7712,-65.2295,451.911,57.1414,96.6581,319.146,4.02967,168.539,59.9216,-394.069,6.34483,279.579,-380.58,117.079,63.8188,-391.216,-1.64962,18.9148,-325.542,192.832,18.6787,84.9944,50.1705,18.2584,-51.0682,212.972,21.0978
266,0,-309.91,28.3479,1430.04,-88.0053,74.6278,1450.48,-170.811,18.1784,1393.57,-228.084,242.179,1293.5,-156.876,-5.25839,1262.67,-371.881,90.249,971.139,-15.4268,166.782,963.619,-395.25,140.266,1494.76,-506.477,36.194,1517.86,-572.49,-78.9359,1622.87,-58.5806,209.274,1501.11,79.3295,169.842,1581.14,173.282,103.46,1676.94,181.526,66.5178,1789.44,208.061,-20.1277,1917.29,-562.963,-83.5102,1741.3,-528.504,-149.59,1871.07,-217.694,-28.311,1696.66,-110.511,-5.96438,1701.34,-392.006,-29.2521,742.024,-366.581,-83.1106,451.136,-275.085,-104.615,450.931,51.7224,70.525,719.572,65.4804,-21.6729,461.375,-15.8629,-67.3273,450.871,57.6107,95.2618,318.434,4.07258,168.477,59.8779,-393.859,5.15463,278.819,-380.482,116.942,63.7676,-391.238,-1.66479,18.9023,-325.438,192.82,18.6999,84.9982,50.2007,18.2994,-51.2215,213.005,20.9522
267,0,-309.858,28.6781,1428.47,-88.1155,75.2026,1448.74,-171.404,18.75,1391.84,-228.043,242.792,1291.83,-157.283,-4.52482,1260.94,-371.924,90.7898,969.636,-15.7497,167.141,961.9,-395.297,140.388,1493.02,-506.584,36.3498,1516.19,-572.621,-78.5708,1621.15,-58.8085,209.666,1499.5,78.921,170.328,1579.58,173.093,103.858,1675.21,181.617,66.8966,1788.02,207.806,-19.8914,1915.71,-562.943,-83.1329,1739.61,-528.443,-149.166,1869.41,-217.745,-28.0914,1695.22,-110.819,-5.40383,1699.6,-391.958,-29.6455,740.76,-366.549,-84.954,450.263,-274.967,-106.889,449.736,51.7229,70.0201,718.622,66.1934,-23.0662,460.295,-15.2274,-68.9864,450.047,58.0653,94.2235,317.956,4.05762,168.425,59.8633,-393.953,3.4212,278.069,-380.421,116.794,63.7523,-391.202,-1.71567,18.92,-325.267,192.817,18.6264,84.9417,50.25,18.2928,-51.3086,213,20.9019
268,0,-310.198,29.0606,1426.92,-88.4873,75.4356,1447.36,-171.738,19.1671,1390.3,-228.038,243.461,1290.4,-157.227,-4.15117,1259.53,-372.056,91.3812,967.934,-15.5261,167.356,960.526,-395.571,140.721,1491.45,-506.676,36.7856,1514.56,-572.72,-78.3321,1619.69,-58.8632,209.971,1498.12,78.8689,170.609,1577.93,173.033,104.137,1673.78,181.558,67.2364,1786.39,207.402,-19.6376,1914.05,-562.989,-82.8483,1737.9,-528.496,-148.824,1867.68,-217.794,-27.8433,1693.66,-110.743,-5.31887,1698.09,-391.913,-30.1476,739.533,-366.522,-86.769,449.126,-275.437,-109.056,448.621,51.7404,69.3587,717.643,67.0153,-24.2561,459.708,-14.7012,-71.0481,449.137,58.4465,93.3591,317.603,4.0404,168.403,59.9522,-393.891,2.24048,277.49,-380.288,116.754,63.7564,-391.207,-1.73471,18.9175,-325.123,192.731,18.6614,85.1999,50.3251,18.3704,-51.3747,212.95,20.9379
269,0,-310.27,29.6211,1425.46,-88.4134,75.9524,1445.73,-171.498,19.4055,1388.91,-228.412,243.845,1288.69,-157.467,-3.73457,1258.14,-372.41,91.8814,966.314,-15.6383,167.617,958.808,-395.704,141.033,1490.15,-506.973,37.1316,1512.93,-572.897,-78.4146,1617.93,-59.0196,210.294,1496.49,78.7742,170.883,1576.6,172.979,104.509,1672.12,181.394,67.4808,1784.69,207.168,-19.567,1912.3,-563.255,-82.6405,1736.3,-528.686,-148.606,1865.98,-218.029,-27.7285,1692.18,-110.78,-5.33532,1696.55,-391.936,-30.6143,738.421,-367.161,-88.8738,448.096,-275.796,-111.175,447.608,51.9114,69.0566,716.662,67.9513,-26.0536,458.999,-13.4771,-73.0425,448.273,59.0733,92.1877,317.263,4.02007,168.307,59.9731,-393.725,1.31555,276.578,-380.166,116.717,63.7732,-391.162,-1.75834,18.9195,-324.905,192.617,18.6563,85.2508,50.3568,18.3743,-51.4684,212.876,21.0277
270,0,-310.44,29.974,1423.99,-88.8301,76.2753,1444.28,-171.588,19.8524,1387.48,-228.751,244.328,1286.98,-157.467,-3.32052,1256.54,-372.452,92.2985,964.767,-15.6102,167.903,957.593,-395.971,141.315,1488.37,-507.171,37.4273,1511.22,-573.137,-78.2254,1616.18,-59.1503,210.779,1495.27,78.5448,171.2,1574.94,172.827,104.837,1670.68,181.088,67.7966,1783.07,206.837,-19.4224,1910.77,-563.454,-82.5172,1734.66,-528.856,-148.469,1864.44,-218.182,-27.3439,1690.26,-111.261,-4.61298,1694.82,-392.085,-30.9813,737.042,-366.882,-90.3542,446.843,-275.788,-113.165,446.521,52.0529,68.5339,715.56,69.0824,-27.7923,458.007,-14.04,-77.7411,448.248,59.6178,90.5567,316.897,3.98051,168.141,60.1513,-394.012,-0.360484,276.002,-380.105,116.604,63.8309,-391.082,-1.79939,18.8985,-324.728,192.556,18.6615,85.073,50.2723,18.3064,-51.6026,212.661,21.0685
271,0,-310.633,30.3467,1422.42,-88.6005,76.7881,1442.62,-171.993,20.2179,1386.05,-228.962,244.66,1285.73,-157.984,-2.81999,1255.21,-372.577,92.8123,962.974,-15.7224,168.195,955.88,-396.035,141.633,1487.11,-507.318,37.6011,1509.73,-573.416,-77.951,1614.59,-59.5287,210.903,1493.39,78.5979,171.614,1573.31,172.904,105.094,1668.91,181.081,67.8859,1781.66,206.388,-19.2879,1908.88,-563.764,-82.5051,1732.98,-528.961,-148.456,1862.7,-218.338,-27.5277,1688.74,-111.188,-4.68933,1692.98,-392.374,-31.4131,736.057,-367.646,-92.5223,445.876,-276.082,-114.991,445.534,52.4723,67.7719,714.071,69.9955,-29.9692,457.169,-12.9179,-79.5093,447.407,60.2605,89.1513,316.56,3.90469,167.923,60.291,-394.005,-1.38367,275.495,-380.021,116.565,63.7616,-391.05,-1.79698,18.9501,-324.461,192.391,18.6724,84.9925,50.224,18.2706,-51.8041,212.419,21.1504
272,0,-310.892,30.7424,1420.9,-89.0071,77.0327,1441.14,-172.195,20.6915,1384.34,-229.118,244.869,1284.14,-158.215,-2.38818,1253.66,-372.707,93.521,961.274,-16.0828,168.562,954.419,-396.392,142.052,1485.33,-507.536,37.8357,1507.85,-573.54,-77.645,1612.85,-59.664,211.422,1492.07,78.4872,171.972,1571.74,172.748,105.392,1667.52,180.632,67.997,1780.13,206.031,-19.2752,1907.24,-563.896,-82.1838,1731.29,-529.21,-148.302,1861.04,-218.162,-27.0377,1686.89,-111.389,-4.14039,1691.33,-392.34,-31.6779,734.754,-367.451,-94.0806,445.15,-276.264,-116.624,444.603,52.9228,66.9702,712.551,70.5382,-32.1362,456.212,-12.1662,-81.2676,446.448,61.0857,87.3037,316.032,3.85971,167.714,60.3188,-393.808,-2.44794,274.598,-380.076,116.567,63.7344,-391.049,-1.83388,18.9739,-324.335,192.46,18.7055,85.1187,50.2134,18.3411,-51.8457,212.344,21.1875
273,0,-311.02,31.0458,1419.31,-89.0926,77.3101,1439.46,-172.342,20.8201,1382.89,-229.255,245.1,1282.45,-158.366,-2.15305,1252.08,-372.955,93.9631,959.822,-16.011,168.976,952.868,-396.479,142.344,1483.76,-507.655,38.0513,1506.42,-573.632,-77.3733,1611.38,-59.8318,211.679,1490.46,78.4082,172.132,1570.3,172.523,105.593,1665.76,180.586,68.2113,1778.44,205.743,-19.1611,1905.84,-564.162,-82.2594,1729.73,-529.401,-148.345,1859.44,-218.62,-27.2612,1685.35,-111.537,-4.03541,1689.65,-392.295,-31.7725,733.685,-367.629,-95.7173,444.524,-276.442,-118.602,443.642,52.9687,66.4906,711.021,71.1558,-33.7545,455.104,-12.3329,-84.2114,445.289,61.467,85.6961,315.206,3.87093,167.584,60.3518,-394.053,-3.60022,274.337,-379.99,116.598,63.7905,-391.022,-1.83248,18.9469,-324.252,192.425,18.7712,84.9793,50.169,18.383,-52.0003,212.226,21.1582
274,0,-311.253,31.2276,1417.71,-89.5529,77.6328,1438.01,-172.306,21.3936,1381.3,-229.196,245.511,1281.23,-158.261,-1.6762,1250.69,-373.243,94.2325,958.486,-16.2558,169.373,950.992,-396.7,142.669,1482.23,-508.011,38.5266,1504.98,-573.88,-76.9255,1609.71,-60.0526,211.837,1488.79,78.0282,172.487,1568.56,172.358,105.959,1664.3,180.254,68.294,1776.65,205.558,-19.104,1904.13,-564.056,-81.8952,1728.06,-529.587,-148.168,1857.86,-218.379,-26.7975,1683.56,-111.812,-3.91401,1688.07,-392.497,-32.1464,732.751,-368.498,-97.3293,443.196,-277.382,-119.991,442.252,53.1513,65.8275,709.382,72.1282,-35.4475,453.943,-11.1619,-85.6742,444.543,62.0676,84.3646,314.592,3.76189,167.464,60.4143,-393.945,-4.37886,273.627,-380.108,116.383,63.6587,-391.093,-1.79649,18.9339,-324.174,192.406,18.7498,84.9105,50.153,18.4012,-52.1743,212.134,21.1401
275,0,-311.254,31.5867,1416.15,-89.2636,78.0132,1436.31,-172.452,21.5881,1379.56,-229.043,245.919,1279.54,-158.336,-1.41768,1248.93,-373.359,94.4797,957.087,-16.4219,169.788,949.506,-396.835,142.935,1480.7,-508.048,38.8217,1503.3,-574.157,-76.838,1608,-60.1551,212.433,1487.23,77.7495,172.729,1567.1,172.211,106.086,1662.59,179.707,68.5449,1775.24,205.3,-18.8931,1902.51,-564.153,-81.5759,1726.42,-529.807,-148.115,1856.06,-218.8,-26.9372,1681.99,-111.844,-3.63202,1686.37,-392.54,-32.1538,731.475,-368.547,-98.7779,442.351,-278.341,-121.809,440.819,53.3634,65.2066,708.02,72.5336,-37.1224,452.874,-9.43319,-85.086,442.562,62.3123,83.2644,313.911,3.6987,167.269,60.3947,-394.321,-5.64901,272.947,-380.113,116.256,63.6893,-391.078,-1.84147,18.9134,-324.061,192.338,18.7505,84.7319,50.1222,18.3635,-52.3046,212.033,21.1079
276,0,-311.423,31.7685,1414.65,-89.6065,78.3173,1434.75,-172.24,21.8249,1378.02,-229.613,246.317,1277.76,-158.398,-1.1437,1247.27,-373.417,94.76,955.693,-16.6474,170.133,947.594,-397.111,143.18,1479.01,-508.111,39.0526,1501.64,-574.473,-76.7561,1606.29,-60.213,212.599,1485.94,77.538,173.116,1565.56,172.108,106.311,1661,179.912,68.7536,1773.67,205.165,-18.9483,1900.92,-564.329,-81.3515,1724.65,-529.835,-147.991,1854.14,-218.872,-26.4198,1680.25,-112.035,-3.43232,1684.66,-392.581,-32.6705,730.569,-369.087,-100.719,441.386,-276.354,-125.355,441.392,53.3866,64.7732,706.771,73.0133,-38.3104,452.17,-8.75995,-87.1657,442.089,62.5496,82.1253,313.302,3.64164,167.167,60.3843,-394.434,-6.79118,272.552,-379.889,115.596,63.6173,-391.145,-1.87491,18.9166,-323.934,192.195,18.84,84.7364,50.1769,18.3775,-52.3539,212.045,21.1456
277,0,-311.486,31.9589,1412.91,-89.4724,78.5626,1433.05,-173.038,22.2609,1376.3,-229.707,246.896,1276.28,-158.408,-1.04772,1245.74,-373.849,95.436,953.98,-16.7615,170.75,946.193,-397.128,143.602,1477.74,-508.285,39.3361,1500.04,-574.561,-76.5463,1604.74,-60.3511,212.65,1484.18,77.4511,173.4,1564.1,172.197,106.586,1659.5,179.502,68.7553,1771.94,204.524,-19.0243,1898.71,-564.691,-81.3818,1723.12,-530.113,-148.045,1852.54,-219.021,-26.3931,1678.61,-112.327,-3.34995,1683.25,-392.677,-32.7347,729.027,-369.274,-102.51,440.458,-277.488,-127.153,439.915,53.5183,64.1055,705.939,73.5889,-40.034,451.209,-7.93694,-88.3753,440.697,62.9939,81.0805,312.99,3.62854,167.113,60.4647,-394.592,-7.7351,271.63,-379.919,115.695,63.764,-391.154,-1.98705,18.9045,-323.808,192.026,18.9004,84.8057,50.1649,18.368,-52.5024,212.01,21.2538
278,0,-311.798,32.2547,1411.36,-89.7695,78.6765,1431.65,-173.219,22.6508,1374.68,-229.869,247.031,1274.75,-158.95,-0.821701,1244.15,-374.101,95.968,952.505,-16.9687,170.912,944.511,-397.316,143.518,1475.81,-508.417,39.5606,1498.47,-574.848,-76.5263,1603.11,-60.3835,212.912,1482.73,77.5705,173.65,1562.36,172.177,106.775,1657.76,179.328,68.7512,1770.26,204.363,-19.0881,1897.07,-565.003,-81.3281,1721.32,-530.075,-147.99,1850.77,-219.297,-26.1824,1677.13,-112.256,-3.10691,1681.57,-393.07,-33.0737,728.099,-369.819,-104.376,439.647,-277.65,-129.24,439.178,53.7961,63.5082,705.017,74.3459,-41.523,450.624,-7.23612,-90.2299,439.949,63.5755,80.0026,312.803,3.57111,166.968,60.5215,-394.818,-9.03934,271.165,-379.997,115.581,63.8035,-391.162,-2.06551,18.9777,-323.684,191.928,18.8092,84.8112,50.1727,18.4129,-52.6185,211.882,21.3545
279,0,-311.834,32.4698,1409.82,-89.8945,78.9921,1429.92,-173.384,22.7279,1372.93,-229.985,247.324,1273.1,-158.908,-0.752097,1242.48,-374.12,96.3534,950.93,-17.0231,171.238,943.163,-397.286,143.924,1474.53,-508.589,39.8942,1496.96,-575.074,-76.3716,1601.38,-60.5718,213.04,1481,77.4655,173.859,1560.8,172.199,107.078,1656.45,179.615,69.0772,1768.73,204.274,-18.9278,1895.53,-565.196,-81.1466,1719.74,-530.48,-147.917,1849.1,-219.26,-26.119,1675.32,-112.436,-2.87987,1680,-393.404,-33.0579,726.642,-370.355,-105.899,438.093,-278.231,-131.153,438.173,53.8787,62.6821,703.718,74.9095,-43.211,449.697,-6.64245,-92.6771,439.166,63.9042,78.7301,312.374,3.57808,166.762,60.6897,-394.661,-10.4468,270.188,-379.297,115.476,63.9398,-391.288,-2.07523,19.0958,-323.5,191.851,18.8515,84.8939,50.1602,18.424,-52.784,211.709,21.4065
280,0,-311.924,32.7001,1408.19,-90.3175,79.1647,1428.52,-173.072,22.9147,1371.63,-230.086,247.534,1271.85,-158.858,-0.587646,1241.07,-374.338,96.7761,949.167,-17.2618,171.576,941.675,-397.434,143.909,1472.88,-508.929,39.715,1495.17,-574.998,-76.2402,1599.68,-60.6806,213.42,1479.72,77.3534,173.961,1559.21,172.063,107.268,1654.51,179.404,68.9533,1767.17,204.389,-18.9541,1893.96,-565.436,-81.0636,1718.01,-530.616,-148.073,1847.36,-219.836,-26.3517,1673.77,-112.675,-2.72722,1678.22,-393.629,-33.1782,725.474,-370.113,-107.413,437.168,-278.457,-132.991,437.151,54.1737,62.1318,702.551,75.6068,-44.7845,448.805,-6.26797,-94.3648,438.379,64.3053,77.198,311.913,3.53785,166.568,60.8244,-394.758,-11.2044,269.677,-379.203,115.257,63.9696,-391.231,-2.06824,19.1238,-323.4,191.839,18.7754,84.8197,50.0681,18.3919,-52.8675,211.599,21.5155
281,0,-312.072,33.0247,1406.5,-90.2038,79.433,1426.78,-173.445,23.1445,1369.92,-230.181,247.701,1270.05,-158.988,-0.391149,1239.33,-374.625,97.1073,947.567,-17.411,171.727,940.069,-397.602,143.953,1471.13,-509.018,40.0711,1493.57,-575.144,-75.8733,1597.88,-60.9299,213.454,1477.7,77.3172,174.082,1557.65,171.835,107.369,1652.99,179.191,69.0238,1765.45,204.116,-18.9113,1892.25,-565.667,-81.0786,1716.29,-530.954,-147.995,1845.58,-219.555,-25.6346,1671.93,-112.937,-2.61357,1676.81,-393.7,-33.0572,723.87,-370.333,-108.764,436.538,-278.587,-134.722,436.407,54.1914,61.6559,701.14,76.057,-46.6845,447.806,-5.56659,-96.094,437.421,64.6443,76.0909,311.558,3.49844,166.476,60.8571,-395.022,-12.1278,269.062,-379.184,115.175,63.8713,-391.27,-2.01328,19.0975,-323.326,191.84,18.7441,84.8461,50.0929,18.4322,-52.9224,211.536,21.5265
282,0,-312.147,33.0818,1404.88,-90.4276,79.3779,1425.28,-173.726,23.4952,1368.17,-230.379,247.935,1268.7,-159.348,-0.121415,1237.78,-375.037,97.668,946.183,-17.5388,172.191,938.44,-397.713,144.255,1469.78,-508.994,40.2062,1491.96,-575.346,-75.7092,1596.15,-61.2479,213.63,1476.29,77.0487,174.233,1555.96,171.755,107.441,1651.28,179.146,69.1911,1763.63,204.145,-18.9808,1890.68,-565.886,-81.0264,1714.53,-531.256,-148.026,1843.97,-219.85,-25.6142,1670.47,-113.095,-2.37797,1675.11,-393.794,-33.0444,722.75,-370.727,-110.394,435.559,-278.263,-136.436,435.394,54.3748,61.2047,699.539,76.5055,-48.3017,446.92,-5.08584,-98.1545,436.501,64.9676,74.6329,310.954,3.38671,166.267,60.824,-395.077,-13.1651,268.436,-379.191,115.138,63.8095,-391.289,-1.97243,19.1384,-323.27,191.827,18.794,84.659,50.0599,18.3877,-52.9902,211.506,21.5358
283,0,-312.274,33.1851,1403.35,-90.4135,79.653,1423.45,-174.106,23.6017,1366.48,-230.371,248.33,1266.94,-159.431,0.0157944,1236.12,-375.185,98.2184,944.482,-17.835,172.479,936.717,-397.849,144.301,1468.1,-509.235,40.2932,1490.34,-575.408,-75.6182,1594.46,-61.2555,213.762,1474.8,77.162,174.354,1554.27,171.636,107.556,1649.63,179.015,69.2021,1761.99,203.902,-18.8674,1889.03,-565.961,-81.0409,1712.85,-531.67,-148.045,1842.35,-220.049,-25.4455,1668.85,-113.071,-2.34548,1673.41,-393.774,-32.9792,721.47,-370.597,-111.392,434.516,-278.656,-137.844,434.573,54.6867,60.4271,698.094,77.2865,-49.6679,445.91,-4.93364,-99.7716,435.585,65.2977,73.3899,310.602,3.32887,166.163,60.8176,-394.909,-13.7946,267.964,-379.152,115.054,63.8374,-391.357,-2.00556,19.1076,-323.204,191.776,18.8132,84.7033,50.1112,18.463,-53.0335,211.478,21.5359
284,0,-312.451,33.4042,1401.65,-90.4344,79.6463,1421.94,-174.109,23.7451,1364.97,-230.477,248.669,1265.66,-159.745,0.157353,1234.53,-375.232,98.7568,942.919,-17.8095,172.816,934.894,-397.998,144.485,1466.43,-509.231,40.4154,1488.55,-575.499,-75.5262,1592.72,-61.3498,213.87,1473.16,76.8368,174.487,1552.8,171.702,107.499,1647.95,179.218,69.4831,1760.35,203.602,-18.9496,1887.05,-566.312,-80.975,1711.19,-531.855,-147.951,1840.58,-220.265,-25.5036,1667.1,-113.367,-2.31638,1671.86,-393.577,-32.9352,720.074,-371.171,-113.237,433.534,-278.074,-139.812,433.673,54.7523,59.9626,696.622,77.4371,-50.9843,444.695,-4.22437,-101.187,434.572,65.5839,72.3735,310.026,3.24206,166.027,60.7798,-394.991,-15.1754,267.226,-379.322,114.795,63.6662,-391.344,-2.03474,19.1083,-323.098,191.677,18.8747,84.5776,50.0944,18.4407,-53.1389,211.409,21.552
285,0,-312.666,33.6021,1400.02,-90.8347,79.909,1420.2,-174.06,23.675,1363.37,-230.854,248.79,1263.93,-159.791,0.094558,1232.83,-375.346,99.0815,941.449,-18.2132,173.134,933.262,-398.138,144.648,1464.77,-509.482,40.5145,1486.76,-575.899,-75.4441,1591.01,-61.6443,213.901,1471.33,76.7646,174.353,1550.98,171.56,107.581,1646.16,179.079,69.5549,1758.67,203.282,-18.9392,1885.32,-566.291,-80.6871,1709.51,-532.19,-147.799,1838.9,-220.178,-25.2772,1665.59,-113.264,-2.24589,1670.37,-393.417,-33.4261,719.173,-371.351,-114.791,432.425,-278.575,-141.577,432.755,54.8522,59.4471,695.301,78.0371,-52.5766,443.909,-3.91883,-102.672,433.683,65.6773,71.5279,309.544,3.2091,165.936,60.7513,-395.238,-16.4532,266.886,-379.101,114.788,63.862,-391.378,-2.06338,19.1053,-322.957,191.599,18.9629,84.6362,50.137,18.4583,-53.2061,211.396,21.5729
